year,city,country,avg_temp
1743,Vilnius,Lithuania,1.43
1744,Vilnius,Lithuania,7.62
1745,Vilnius,Lithuania,-3.83
1746,Vilnius,Lithuania,
1747,Vilnius,Lithuania,
1748,Vilnius,Lithuania,
1749,Vilnius,Lithuania,
1750,Vilnius,Lithuania,6.42
1751,Vilnius,Lithuania,6.17
1752,Vilnius,Lithuania,0.66
1753,Vilnius,Lithuania,5.31
1754,Vilnius,Lithuania,5.30
1755,Vilnius,Lithuania,5.19
1756,Vilnius,Lithuania,5.87
1757,Vilnius,Lithuania,5.94
1758,Vilnius,Lithuania,4.06
1759,Vilnius,Lithuania,5.32
1760,Vilnius,Lithuania,4.45
1761,Vilnius,Lithuania,5.82
1762,Vilnius,Lithuania,5.43
1763,Vilnius,Lithuania,4.61
1764,Vilnius,Lithuania,5.80
1765,Vilnius,Lithuania,5.57
1766,Vilnius,Lithuania,5.72
1767,Vilnius,Lithuania,5.10
1768,Vilnius,Lithuania,4.40
1769,Vilnius,Lithuania,5.20
1770,Vilnius,Lithuania,5.37
1771,Vilnius,Lithuania,4.31
1772,Vilnius,Lithuania,5.37
1773,Vilnius,Lithuania,6.47
1774,Vilnius,Lithuania,5.39
1775,Vilnius,Lithuania,6.89
1776,Vilnius,Lithuania,5.56
1777,Vilnius,Lithuania,5.01
1778,Vilnius,Lithuania,5.87
1779,Vilnius,Lithuania,7.05
1780,Vilnius,Lithuania,5.16
1781,Vilnius,Lithuania,5.97
1782,Vilnius,Lithuania,4.62
1783,Vilnius,Lithuania,5.94
1784,Vilnius,Lithuania,4.89
1785,Vilnius,Lithuania,3.83
1786,Vilnius,Lithuania,4.30
1787,Vilnius,Lithuania,5.58
1788,Vilnius,Lithuania,4.50
1789,Vilnius,Lithuania,6.18
1790,Vilnius,Lithuania,5.60
1791,Vilnius,Lithuania,6.68
1792,Vilnius,Lithuania,5.37
1793,Vilnius,Lithuania,5.81
1794,Vilnius,Lithuania,6.65
1795,Vilnius,Lithuania,5.20
1796,Vilnius,Lithuania,5.53
1797,Vilnius,Lithuania,7.21
1798,Vilnius,Lithuania,6.26
1799,Vilnius,Lithuania,3.79
1800,Vilnius,Lithuania,5.03
1801,Vilnius,Lithuania,6.38
1802,Vilnius,Lithuania,6.01
1803,Vilnius,Lithuania,4.31
1804,Vilnius,Lithuania,5.15
1805,Vilnius,Lithuania,4.65
1806,Vilnius,Lithuania,5.73
1807,Vilnius,Lithuania,5.86
1808,Vilnius,Lithuania,4.87
1809,Vilnius,Lithuania,4.14
1810,Vilnius,Lithuania,4.46
1811,Vilnius,Lithuania,5.88
1812,Vilnius,Lithuania,3.74
1813,Vilnius,Lithuania,5.08
1814,Vilnius,Lithuania,4.18
1815,Vilnius,Lithuania,4.37
1816,Vilnius,Lithuania,4.61
1817,Vilnius,Lithuania,5.33
1818,Vilnius,Lithuania,5.55
1819,Vilnius,Lithuania,5.80
1820,Vilnius,Lithuania,4.80
1821,Vilnius,Lithuania,5.72
1822,Vilnius,Lithuania,6.97
1823,Vilnius,Lithuania,5.43
1824,Vilnius,Lithuania,6.64
1825,Vilnius,Lithuania,5.72
1826,Vilnius,Lithuania,6.41
1827,Vilnius,Lithuania,6.09
1828,Vilnius,Lithuania,4.85
1829,Vilnius,Lithuania,3.17
1830,Vilnius,Lithuania,4.84
1831,Vilnius,Lithuania,5.39
1832,Vilnius,Lithuania,4.30
1833,Vilnius,Lithuania,5.84
1834,Vilnius,Lithuania,6.48
1835,Vilnius,Lithuania,5.15
1836,Vilnius,Lithuania,5.55
1837,Vilnius,Lithuania,4.95
1838,Vilnius,Lithuania,3.83
1839,Vilnius,Lithuania,4.68
1840,Vilnius,Lithuania,4.07
1841,Vilnius,Lithuania,5.61
1842,Vilnius,Lithuania,4.81
1843,Vilnius,Lithuania,6.17
1844,Vilnius,Lithuania,4.05
1845,Vilnius,Lithuania,4.40
1846,Vilnius,Lithuania,5.76
1847,Vilnius,Lithuania,4.93
1848,Vilnius,Lithuania,5.82
1849,Vilnius,Lithuania,4.50
1850,Vilnius,Lithuania,5.00
1851,Vilnius,Lithuania,5.71
1852,Vilnius,Lithuania,4.92
1853,Vilnius,Lithuania,5.03
1854,Vilnius,Lithuania,5.49
1855,Vilnius,Lithuania,4.07
1856,Vilnius,Lithuania,4.62
1857,Vilnius,Lithuania,5.71
1858,Vilnius,Lithuania,5.41
1859,Vilnius,Lithuania,6.45
1860,Vilnius,Lithuania,5.32
1861,Vilnius,Lithuania,5.21
1862,Vilnius,Lithuania,3.52
1863,Vilnius,Lithuania,6.77
1864,Vilnius,Lithuania,4.35
1865,Vilnius,Lithuania,4.92
1866,Vilnius,Lithuania,6.10
1867,Vilnius,Lithuania,3.79
1868,Vilnius,Lithuania,5.99
1869,Vilnius,Lithuania,6.03
1870,Vilnius,Lithuania,3.93
1871,Vilnius,Lithuania,3.51
1872,Vilnius,Lithuania,6.66
1873,Vilnius,Lithuania,6.09
1874,Vilnius,Lithuania,5.47
1875,Vilnius,Lithuania,3.29
1876,Vilnius,Lithuania,4.33
1877,Vilnius,Lithuania,4.55
1878,Vilnius,Lithuania,6.15
1879,Vilnius,Lithuania,4.67
1880,Vilnius,Lithuania,5.16
1881,Vilnius,Lithuania,4.07
1882,Vilnius,Lithuania,6.32
1883,Vilnius,Lithuania,5.29
1884,Vilnius,Lithuania,5.56
1885,Vilnius,Lithuania,5.35
1886,Vilnius,Lithuania,5.24
1887,Vilnius,Lithuania,5.53
1888,Vilnius,Lithuania,3.76
1889,Vilnius,Lithuania,5.00
1890,Vilnius,Lithuania,5.91
1891,Vilnius,Lithuania,5.52
1892,Vilnius,Lithuania,4.57
1893,Vilnius,Lithuania,3.95
1894,Vilnius,Lithuania,5.77
1895,Vilnius,Lithuania,5.00
1896,Vilnius,Lithuania,5.76
1897,Vilnius,Lithuania,6.04
1898,Vilnius,Lithuania,5.93
1899,Vilnius,Lithuania,5.50
1900,Vilnius,Lithuania,5.41
1901,Vilnius,Lithuania,5.91
1902,Vilnius,Lithuania,3.78
1903,Vilnius,Lithuania,6.48
1904,Vilnius,Lithuania,4.70
1905,Vilnius,Lithuania,5.58
1906,Vilnius,Lithuania,6.16
1907,Vilnius,Lithuania,4.34
1908,Vilnius,Lithuania,4.86
1909,Vilnius,Lithuania,4.76
1910,Vilnius,Lithuania,6.74
1911,Vilnius,Lithuania,5.75
1912,Vilnius,Lithuania,4.86
1913,Vilnius,Lithuania,6.42
1914,Vilnius,Lithuania,6.35
1915,Vilnius,Lithuania,4.64
1916,Vilnius,Lithuania,5.75
1917,Vilnius,Lithuania,4.63
1918,Vilnius,Lithuania,5.80
1919,Vilnius,Lithuania,4.77
1920,Vilnius,Lithuania,6.40
1921,Vilnius,Lithuania,5.91
1922,Vilnius,Lithuania,4.58
1923,Vilnius,Lithuania,5.18
1924,Vilnius,Lithuania,5.07
1925,Vilnius,Lithuania,6.44
1926,Vilnius,Lithuania,5.50
1927,Vilnius,Lithuania,5.09
1928,Vilnius,Lithuania,5.13
1929,Vilnius,Lithuania,4.39
1930,Vilnius,Lithuania,6.37
1931,Vilnius,Lithuania,4.71
1932,Vilnius,Lithuania,6.29
1933,Vilnius,Lithuania,4.49
1934,Vilnius,Lithuania,7.47
1935,Vilnius,Lithuania,5.81
1936,Vilnius,Lithuania,6.74
1937,Vilnius,Lithuania,6.41
1938,Vilnius,Lithuania,7.03
1939,Vilnius,Lithuania,6.47
1940,Vilnius,Lithuania,3.68
1941,Vilnius,Lithuania,3.33
1942,Vilnius,Lithuania,3.43
1943,Vilnius,Lithuania,6.48
1944,Vilnius,Lithuania,6.28
1945,Vilnius,Lithuania,5.48
1946,Vilnius,Lithuania,5.71
1947,Vilnius,Lithuania,5.06
1948,Vilnius,Lithuania,6.58
1949,Vilnius,Lithuania,7.31
1950,Vilnius,Lithuania,6.03
1951,Vilnius,Lithuania,5.94
1952,Vilnius,Lithuania,5.19
1953,Vilnius,Lithuania,6.00
1954,Vilnius,Lithuania,5.43
1955,Vilnius,Lithuania,5.28
1956,Vilnius,Lithuania,4.11
1957,Vilnius,Lithuania,6.60
1958,Vilnius,Lithuania,5.44
1959,Vilnius,Lithuania,6.50
1960,Vilnius,Lithuania,5.86
1961,Vilnius,Lithuania,6.93
1962,Vilnius,Lithuania,5.22
1963,Vilnius,Lithuania,4.83
1964,Vilnius,Lithuania,5.53
1965,Vilnius,Lithuania,4.77
1966,Vilnius,Lithuania,5.68
1967,Vilnius,Lithuania,6.45
1968,Vilnius,Lithuania,5.30
1969,Vilnius,Lithuania,4.27
1970,Vilnius,Lithuania,5.10
1971,Vilnius,Lithuania,6.29
1972,Vilnius,Lithuania,6.48
1973,Vilnius,Lithuania,6.12
1974,Vilnius,Lithuania,6.62
1975,Vilnius,Lithuania,7.69
1976,Vilnius,Lithuania,4.55
1977,Vilnius,Lithuania,5.66
1978,Vilnius,Lithuania,4.88
1979,Vilnius,Lithuania,5.34
1980,Vilnius,Lithuania,4.70
1981,Vilnius,Lithuania,6.09
1982,Vilnius,Lithuania,6.26
1983,Vilnius,Lithuania,7.10
1984,Vilnius,Lithuania,6.17
1985,Vilnius,Lithuania,4.41
1986,Vilnius,Lithuania,5.57
1987,Vilnius,Lithuania,4.06
1988,Vilnius,Lithuania,6.26
1989,Vilnius,Lithuania,7.78
1990,Vilnius,Lithuania,7.56
1991,Vilnius,Lithuania,6.77
1992,Vilnius,Lithuania,7.04
1993,Vilnius,Lithuania,5.79
1994,Vilnius,Lithuania,6.30
1995,Vilnius,Lithuania,6.68
1996,Vilnius,Lithuania,5.09
1997,Vilnius,Lithuania,6.29
1998,Vilnius,Lithuania,6.27
1999,Vilnius,Lithuania,7.31
2000,Vilnius,Lithuania,7.69
2001,Vilnius,Lithuania,6.75
2002,Vilnius,Lithuania,7.26
2003,Vilnius,Lithuania,6.44
2004,Vilnius,Lithuania,6.43
2005,Vilnius,Lithuania,6.50
2006,Vilnius,Lithuania,6.98
2007,Vilnius,Lithuania,7.44
2008,Vilnius,Lithuania,7.84
2009,Vilnius,Lithuania,6.70
2010,Vilnius,Lithuania,6.14
2011,Vilnius,Lithuania,7.32
2012,Vilnius,Lithuania,6.31
2013,Vilnius,Lithuania,7.42
